AL0_P,TM-score,TM-align,AL4_P,QCS,Z-score,Handed.,SS,DFM
0.03239083308599869,0.04370800032727923,0.030249467057701325,0.046083391811049854,0.018266114006517366,0.04287410521648055,0.016961954305769848,0.014471223327464321,0.06709789201782268
0.03965347790448834,0.07767715859197707,0.05549681156130739,0.06584771318529223,0.039640402622730816,0.056009592763864365,0.040912601305219475,0.03924079146372874,0.05461616138457819
0.025301104432608443,0.04462072482838761,0.04672389605248893,0.0401672403102769,0.015131522435899103,0.04687863593102063,0.005874582788903429,-0.0036493885402055512,0.02315474508362033
0.020644324,0.03934614,	0.033083788,0.051409244,0.008432422,0.038023103,0.007465599,0.007921328,0.030657282
0.029495276,0.04933283,0.024023418,0.039093375,0.012281415,0.036998574,0.010468915,0.020933298,0.040545741
0.029470719,0.074520584,0.040119187,0.052129625,0.045554007,0.062578657,0.026859041,0.045237691,0.056868041
0.014323136,0.058808276,0.041039453,0.026007347,0.009670236,0.051308443,0.017716842,0.015937355,0.040331223
0.023807504,0.048704817,0.044492981,0.066429856,0.016503479,0.051800641,0.024158212,0.020917286,0.034878673
0.022075288,0.05650333,0.031829703,0.030005163,0.020421026,0.043225152,0.007617988,0.018293373,0.056121796
0.04409142761675415,0.06724565552489223,0.06641299970663224,0.06495110674885488,0.03291743150478601,0.058104354307125634,0.04027128913435642,0.042671109585304706,0.050915608752713594
0.029545720864050825,0.08048424691705358,0.03518407621883565,0.0420063539015963,0.02172334592887848,0.03565561213171058,0.0013992379929026627,0.018924136577930226,0.04583064771490818
